student_id,gender,major,study_hours,attendance_rate,assignment_score,midterm_score,final_score,average_score,passed,study_level,score_improvement
STU066,Female,Information Systems,13.2,92.2,7.1,7.8,9.0,8.26,True,High,1.2
STU067,Other,Computer Science,8.6,81.9,5.4,8.0,6.7,6.83,True,Moderate,-1.3
STU068,Male,Software Engineering,8.2,84.2,9.2,8.8,10.0,9.48,True,Moderate,1.2
STU069,Male,Computer Science,13.4,80.6,9.5,10.0,8.9,9.35,True,High,-1.1
STU070,Male,Computer Science,9.2,80.0,5.3,5.2,5.8,5.52,True,Moderate,0.6
STU071,Female,Information Systems,4.9,71.3,6.7,5.9,5.9,6.06,True,Low,0.0
STU072,Female,Information Systems,5.5,83.8,4.7,4.7,4.8,4.75,False,Moderate,0.1
STU073,Male,Software Engineering,6.3,78.8,5.6,6.3,6.6,6.31,True,Moderate,0.3
STU074,Other,Software Engineering,12.0,100.0,8.3,10.0,9.4,9.36,True,High,-0.6
STU075,Other,Computer Science,10.6,98.9,8.8,8.8,9.5,9.15,True,High,0.7
STU076,Female,Software Engineering,12.8,84.6,7.9,7.5,9.4,8.53,True,High,1.9
STU077,Other,Software Engineering,8.3,70.8,6.9,6.6,9.3,8.01,True,Moderate,2.7
STU078,Female,Software Engineering,10.6,66.7,6.0,5.2,5.0,5.26,True,High,-0.2
STU079,Other,Software Engineering,12.5,94.3,8.5,6.8,8.8,8.14,True,High,2.0
STU080,Male,Information Systems,8.8,83.2,8.6,9.2,9.4,9.18,True,Moderate,0.2
STU081,Male,Software Engineering,11.8,85.8,6.6,8.4,8.2,7.94,True,High,-0.2
STU082,Other,Software Engineering,7.4,59.1,7.4,8.7,6.8,7.49,True,Moderate,-1.9
STU083,Male,Information Systems,8.5,91.1,7.2,10.0,9.2,9.04,True,Moderate,-0.8
STU084,Other,Software Engineering,8.5,85.5,7.7,7.1,8.1,7.72,True,Moderate,1.0
STU085,Male,Information Systems,5.2,66.7,5.4,6.8,5.2,5.72,True,Moderate,-1.6
STU086,Other,Software Engineering,11.9,74.3,7.4,7.5,8.6,8.03,True,High,1.1
STU087,Male,Software Engineering,8.1,83.2,6.7,5.8,3.5,4.83,False,Moderate,-2.3
STU088,Female,Software Engineering,10.0,80.6,6.9,8.2,5.5,6.59,True,Moderate,-2.7
STU089,Other,Information Systems,11.9,76.5,5.6,6.6,7.4,6.8,True,High,0.8
STU090,Male,Computer Science,11.8,78.8,7.5,8.5,8.5,8.3,True,High,0.0
STU091,Male,Computer Science,12.7,77.0,9.3,8.6,9.3,9.09,True,High,0.7
STU092,Female,Software Engineering,9.6,81.8,8.6,6.2,6.2,6.68,True,Moderate,0.0
STU093,Female,Software Engineering,8.3,97.7,6.8,5.6,7.1,6.59,True,Moderate,1.5
STU094,Male,Computer Science,9.7,49.2,4.4,7.1,8.6,7.31,True,Moderate,1.5
STU095,Female,Software Engineering,3.3,77.2,3.7,4.8,5.9,5.13,True,Low,1.1
STU096,Other,Computer Science,4.2,82.1,6.3,6.4,7.1,6.73,True,Low,0.7
STU097,Other,Information Systems,4.7,83.6,3.4,3.8,3.3,3.47,False,Low,-0.5
STU098,Other,Information Systems,6.0,75.5,5.3,6.4,5.2,5.58,True,Moderate,-1.2
STU099,Other,Computer Science,11.6,58.9,4.4,4.5,2.0,3.23,False,High,-2.5
STU100,Male,Software Engineering,6.4,83.9,4.4,4.0,4.9,4.53,False,Moderate,0.9
STU101,Female,Software Engineering,8.5,100.0,10.0,10.0,10.0,10.0,True,Moderate,0.0
STU102,Male,Information Systems,15.2,61.6,8.3,10.0,7.1,8.21,True,High,-2.9
STU103,Male,Computer Science,8.6,90.4,5.7,6.9,5.7,6.06,True,Moderate,-1.2
STU104,Other,Computer Science,13.0,76.1,6.4,7.0,4.7,5.73,True,High,-2.3
STU105,Female,Computer Science,6.3,79.3,1.5,3.9,1.6,2.27,False,Moderate,-2.3
STU106,Male,Software Engineering,9.2,67.4,6.1,7.0,5.9,6.27,True,Moderate,-1.1
STU107,Male,Information Systems,6.2,76.0,9.1,9.6,6.7,8.05,True,Moderate,-2.9
STU108,Female,Information Systems,8.6,95.6,7.9,8.6,8.7,8.51,True,Moderate,0.1
STU109,Female,Information Systems,13.4,87.0,8.9,8.2,8.5,8.49,True,High,0.3
STU110,Male,Information Systems,3.1,100.0,6.3,5.7,6.6,6.27,True,Low,0.9
STU111,Female,Software Engineering,11.7,94.1,8.0,7.0,3.6,5.5,True,High,-3.4
STU112,Female,Software Engineering,11.0,85.3,7.1,5.9,6.2,6.29,True,High,0.3
STU113,Male,Software Engineering,7.6,100.0,6.5,6.7,8.9,7.76,True,Moderate,2.2
STU114,Female,Information Systems,4.2,85.3,5.9,7.2,2.8,4.74,False,Low,-4.4
STU115,Male,Computer Science,10.3,89.9,7.8,9.5,8.2,8.51,True,High,-1.3
STU116,Female,Computer Science,7.9,76.4,6.3,8.4,5.6,6.58,True,Moderate,-2.8
STU117,Female,Information Systems,10.9,80.8,8.6,8.0,9.2,8.72,True,High,1.2
STU118,Male,Computer Science,10.1,71.6,6.5,4.9,5.3,5.42,True,High,0.4
STU119,Other,Information Systems,16.4,91.9,9.9,10.0,10.0,9.98,True,High,0.0
STU120,Male,Information Systems,9.0,65.9,9.1,8.5,9.0,8.87,True,Moderate,0.5
STU121,Other,Software Engineering,5.9,89.4,6.3,5.5,7.4,6.61,True,Moderate,1.9
STU122,Male,Computer Science,10.7,77.7,7.4,7.4,6.0,6.7,True,High,-1.4
STU123,Male,Information Systems,10.9,94.1,10.0,9.2,10.0,9.76,True,High,0.8
STU124,Male,Information Systems,15.4,89.0,9.8,9.0,7.1,8.21,True,High,-1.9
STU125,Other,Software Engineering,13.3,100.0,9.0,9.5,10.0,9.65,True,High,0.5
STU126,Other,Software Engineering,11.4,88.8,7.1,7.8,6.5,7.01,True,High,-1.3
STU127,Other,Computer Science,15.9,61.1,9.0,9.7,9.0,9.21,True,High,-0.7
STU128,Other,Information Systems,5.2,79.2,6.2,5.4,6.1,5.91,True,Moderate,0.7
STU129,Male,Software Engineering,7.4,65.9,5.9,6.1,4.6,5.31,True,Moderate,-1.5
STU130,Male,Computer Science,6.3,73.8,7.8,7.7,8.2,7.97,True,Moderate,0.5
STU131,Other,Software Engineering,8.4,98.1,8.6,6.8,8.2,7.86,True,Moderate,1.4
STU132,Female,Software Engineering,4.5,87.7,4.9,6.8,5.3,5.67,True,Low,-1.5
STU133,Male,Computer Science,12.5,71.6,7.3,6.9,5.2,6.13,True,High,-1.7
STU134,Other,Computer Science,9.1,67.8,6.8,6.8,6.9,6.85,True,Moderate,0.1
STU135,Male,Computer Science,4.1,80.4,3.9,1.8,4.7,3.67,False,Low,2.9
STU136,Female,Software Engineering,5.9,65.4,6.4,5.5,4.3,5.08,True,Moderate,-1.2
STU137,Male,Information Systems,11.3,71.9,6.9,6.3,5.4,5.97,True,High,-0.9
STU138,Female,Software Engineering,13.4,83.7,10.0,8.9,10.0,9.67,True,High,1.1
STU139,Other,Information Systems,18.0,93.9,8.2,8.3,7.2,7.73,True,High,-1.1
STU140,Other,Software Engineering,21.7,87.3,9.7,9.3,9.9,9.68,True,Very high,0.6
STU141,Female,Information Systems,11.7,52.5,5.0,5.8,6.5,5.99,True,High,0.7
STU142,Male,Computer Science,6.0,83.7,4.4,5.4,5.9,5.45,True,Moderate,0.5
STU143,Other,Computer Science,1.5,80.9,5.3,5.4,6.1,5.73,True,Low,0.7
STU144,Other,Software Engineering,11.1,85.0,8.2,7.4,10.0,8.86,True,High,2.6
STU145,Female,Information Systems,6.7,99.4,7.6,6.9,6.6,6.89,True,Moderate,-0.3
STU146,Male,Software Engineering,8.3,55.2,5.8,7.3,4.7,5.7,True,Moderate,-2.6
STU147,Male,Computer Science,7.6,72.9,7.3,4.2,7.0,6.22,True,Moderate,2.8
STU148,Male,Information Systems,9.4,87.1,6.5,4.1,6.6,5.83,True,Moderate,2.5
STU149,Female,Information Systems,14.3,61.0,9.3,7.8,7.8,8.1,True,High,0.0
STU150,Female,Information Systems,10.6,97.7,9.1,8.9,7.7,8.34,True,High,-1.2
STU151,Other,Software Engineering,9.4,84.4,7.4,8.4,10.0,9.0,True,Moderate,1.6
STU152,Female,Information Systems,5.9,90.2,7.5,7.7,7.6,7.61,True,Moderate,-0.1
STU153,Female,Information Systems,3.3,73.1,3.3,5.2,4.8,4.62,False,Low,-0.4
STU154,Female,Software Engineering,8.1,89.8,9.9,10.0,10.0,9.98,True,Moderate,0.0
STU155,Female,Software Engineering,9.8,92.8,4.6,8.6,7.4,7.2,True,Moderate,-1.2
STU156,Female,Information Systems,17.1,82.8,7.3,8.9,8.4,8.33,True,High,-0.5
STU157,Male,Software Engineering,10.5,82.8,6.9,7.5,7.2,7.23,True,High,-0.3
STU158,Other,Computer Science,13.9,83.2,7.5,7.3,5.7,6.54,True,High,-1.6
STU159,Female,Software Engineering,8.0,69.6,3.9,4.2,5.2,4.64,False,Moderate,1.0
STU160,Female,Software Engineering,5.3,78.2,4.3,5.6,7.0,6.04,True,Moderate,1.4
STU161,Female,Information Systems,6.1,78.2,7.2,6.2,6.6,6.6,True,Moderate,0.4
STU162,Male,Software Engineering,7.1,84.6,6.7,7.1,6.6,6.77,True,Moderate,-0.5
STU163,Female,Information Systems,18.5,92.0,10.0,10.0,9.3,9.65,True,High,-0.7
STU164,Other,Information Systems,6.7,67.3,5.0,2.5,4.5,4.0,False,Moderate,2.0
STU165,Male,Software Engineering,13.4,78.5,9.4,7.6,8.8,8.56,True,High,1.2
STU166,Other,Software Engineering,6.4,97.8,9.2,6.7,7.5,7.6,True,Moderate,0.8
STU167,Male,Information Systems,13.7,71.1,7.7,7.2,8.6,8.0,True,High,1.4
STU168,Male,Computer Science,11.5,70.1,5.6,6.2,4.5,5.23,True,High,-1.7
STU169,Other,Software Engineering,9.4,82.4,7.7,6.3,8.7,7.78,True,Moderate,2.4
STU170,Male,Information Systems,9.8,90.1,7.8,6.8,7.4,7.3,True,Moderate,0.6
STU171,Other,Software Engineering,7.4,80.1,3.7,4.0,5.2,4.54,False,Moderate,1.2
STU172,Other,Software Engineering,11.8,95.9,8.0,10.0,7.0,8.1,True,High,-3.0
STU173,Male,Information Systems,8.2,90.3,6.9,9.3,8.9,8.62,True,Moderate,-0.4
STU174,Other,Software Engineering,5.1,90.1,6.0,4.9,6.7,6.02,True,Moderate,1.8
STU175,Female,Computer Science,4.9,86.6,6.4,6.1,7.5,6.86,True,Low,1.4
STU176,Other,Information Systems,10.7,100.0,6.2,5.3,4.8,5.23,True,High,-0.5
STU177,Other,Computer Science,16.3,77.5,10.0,8.4,10.0,9.52,True,High,1.6
STU178,Other,Computer Science,10.6,56.0,8.1,7.8,8.3,8.11,True,High,0.5
STU179,Female,Computer Science,9.5,99.3,8.0,6.6,5.8,6.48,True,Moderate,-0.8
STU180,Other,Software Engineering,11.1,74.5,6.9,7.6,7.7,7.51,True,High,0.1
STU181,Male,Computer Science,15.2,81.3,4.8,4.1,6.1,5.24,True,High,2.0
STU182,Female,Information Systems,10.9,95.7,7.5,5.9,7.3,6.92,True,High,1.4
STU183,Female,Software Engineering,8.4,60.8,5.3,5.8,5.9,5.75,True,Moderate,0.1
STU184,Male,Information Systems,14.4,65.0,5.3,6.8,6.7,6.45,True,High,-0.1
STU185,Female,Computer Science,11.7,60.8,8.1,8.1,9.3,8.7,True,High,1.2
STU186,Female,Computer Science,16.1,70.5,10.0,9.4,10.0,9.82,True,High,0.6
STU187,Male,Software Engineering,10.7,85.3,5.0,7.0,3.0,4.6,False,High,-4.0
STU188,Male,Computer Science,5.1,86.3,5.4,4.4,4.9,4.85,False,Moderate,0.5
STU189,Female,Software Engineering,4.5,83.3,6.8,6.9,6.1,6.48,True,Low,-0.8
STU190,Other,Software Engineering,16.6,63.0,10.0,10.0,8.2,9.1,True,High,-1.8
STU191,Other,Information Systems,16.9,52.3,6.9,5.0,6.5,6.13,True,High,1.5
STU192,Male,Software Engineering,9.3,80.7,6.2,7.0,8.7,7.69,True,Moderate,1.7
STU193,Other,Computer Science,8.5,74.3,9.0,9.1,7.6,8.33,True,Moderate,-1.5
STU194,Male,Computer Science,15.8,85.5,6.7,7.5,7.3,7.24,True,High,-0.2
STU195,Female,Software Engineering,5.6,88.4,4.5,4.8,3.9,4.29,False,Moderate,-0.9
STU196,Female,Software Engineering,6.4,81.7,6.6,7.4,5.1,6.09,True,Moderate,-2.3
STU197,Other,Computer Science,12.6,89.1,8.8,8.6,9.2,8.94,True,High,0.6
STU198,Other,Computer Science,8.4,82.8,9.3,7.6,7.3,7.79,True,Moderate,-0.3
STU199,Other,Information Systems,10.0,86.4,8.8,8.5,8.2,8.41,True,Moderate,-0.3
STU200,Female,Information Systems,9.3,71.5,4.5,6.5,2.5,4.1,False,Moderate,-4.0
