student_id,gender,major,study_hours,attendance_rate,assignment_score,midterm_score,final_score
STU032,Other,Software Engineering,8.4,72.9,7.1,4.9,7.9
STU033,Male,Software Engineering,8.0,83.8,6.6,6.7,6.0
STU034,Other,Software Engineering,6.7,94.5,5.7,4.8,5.4
STU035,Male,Computer Science,12.5,71.3,6.4,9.6,9.2
STU036,Female,Information Systems,14.5,72.2,7.6,8.5,6.7
STU037,Other,Software Engineering,9.5,54.2,6.7,5.6,4.2
STU038,Female,Software Engineering,6.6,78.0,4.1,4.5,3.7
STU039,Female,Software Engineering,6.7,67.3,4.8,5.6,5.2
STU040,Male,Computer Science,12.6,73.6,7.5,7.6,8.5
STU041,Female,Software Engineering,13.0,69.5,6.6,7.3,6.4
STU042,Other,Computer Science,12.2,78.9,7.8,9.1,8.1
STU043,Male,Software Engineering,7.3,58.9,7.3,5.6,6.8
STU044,Female,Software Engineering,10.9,62.4,9.8,9.1,9.0
STU045,Other,Computer Science,10.5,100.0,7.4,8.4,9.4
STU046,Male,Computer Science,9.8,64.6,6.6,4.1,6.4
STU047,Female,Computer Science,13.5,66.8,8.9,9.8,7.7
STU048,Other,Information Systems,10.9,100.0,9.2,8.5,9.7
STU049,Male,Computer Science,12.7,100.0,9.9,10.0,9.4
STU050,Female,Information Systems,10.3,65.9,7.3,6.4,8.3
STU051,Other,Computer Science,11.2,75.6,7.4,6.3,7.2
STU052,Male,Software Engineering,12.5,84.1,10.0,7.9,8.0
STU053,Other,Software Engineering,4.2,100.0,9.6,9.4,6.9
STU054,Other,Software Engineering,8.7,68.2,8.3,7.9,8.7
STU055,Male,Computer Science,8.1,77.1,7.5,7.1,5.0
STU056,Other,Software Engineering,7.4,89.3,6.8,5.9,8.2
STU057,Female,Information Systems,8.9,85.2,8.0,8.2,10.0
STU058,Female,Computer Science,16.0,75.5,8.2,7.6,6.6
STU059,Male,Information Systems,6.5,78.4,6.7,9.1,7.0
STU060,Other,Information Systems,13.9,63.5,7.7,6.1,6.7
STU061,Female,Computer Science,3.3,77.1,5.8,7.3,5.1
STU062,Male,Software Engineering,8.7,76.8,6.0,5.9,6.6
STU063,Other,Information Systems,10.7,82.8,5.9,6.0,5.5
STU064,Other,Software Engineering,12.3,73.3,3.5,5.2,6.9
STU065,Other,Software Engineering,12.8,85.7,7.3,7.2,6.3
STU066,Female,Information Systems,13.2,92.2,7.1,7.8,9.0
STU067,Other,Computer Science,8.6,81.9,5.4,8.0,6.7
STU068,Male,Software Engineering,8.2,84.2,9.2,8.8,10.0
STU069,Male,Computer Science,13.4,80.6,9.5,10.0,8.9
STU070,Male,Computer Science,9.2,80.0,5.3,5.2,5.8
STU071,Female,Information Systems,4.9,71.3,6.7,5.9,5.9
STU072,Female,Information Systems,5.5,83.8,4.7,4.7,4.8
STU073,Male,Software Engineering,6.3,78.8,5.6,6.3,6.6
STU074,Other,Software Engineering,12.0,100.0,8.3,10.0,9.4
STU075,Other,Computer Science,10.6,98.9,8.8,8.8,9.5
STU076,Female,Software Engineering,12.8,84.6,7.9,7.5,9.4
STU077,Other,Software Engineering,8.3,70.8,6.9,6.6,9.3
STU078,Female,Software Engineering,10.6,66.7,6.0,5.2,5.0
STU079,Other,Software Engineering,12.5,94.3,8.5,6.8,8.8
STU080,Male,Information Systems,8.8,83.2,8.6,9.2,9.4
STU081,Male,Software Engineering,11.8,85.8,6.6,8.4,8.2
STU082,Other,Software Engineering,7.4,59.1,7.4,8.7,6.8
STU083,Male,Information Systems,8.5,91.1,7.2,10.0,9.2
STU084,Other,Software Engineering,8.5,85.5,7.7,7.1,8.1
STU085,Male,Information Systems,5.2,66.7,5.4,6.8,5.2
STU086,Other,Software Engineering,11.9,74.3,7.4,7.5,8.6
STU087,Male,Software Engineering,8.1,83.2,6.7,5.8,3.5
STU088,Female,Software Engineering,10.0,80.6,6.9,8.2,5.5
STU089,Other,Information Systems,11.9,76.5,5.6,6.6,7.4
STU090,Male,Computer Science,11.8,78.8,7.5,8.5,8.5
STU091,Male,Computer Science,12.7,77.0,9.3,8.6,9.3
STU092,Female,Software Engineering,9.6,81.8,8.6,6.2,6.2
STU093,Female,Software Engineering,8.3,97.7,6.8,5.6,7.1
STU094,Male,Computer Science,9.7,49.2,4.4,7.1,8.6
STU095,Female,Software Engineering,3.3,77.2,3.7,4.8,5.9
STU096,Other,Computer Science,4.2,82.1,6.3,6.4,7.1
STU097,Other,Information Systems,4.7,83.6,3.4,3.8,3.3
STU098,Other,Information Systems,6.0,75.5,5.3,6.4,5.2
STU099,Other,Computer Science,11.6,58.9,4.4,4.5,2.0
STU100,Male,Software Engineering,6.4,83.9,4.4,4.0,4.9
STU101,Female,Software Engineering,8.5,100.0,10.0,10.0,10.0
STU102,Male,Information Systems,15.2,61.6,8.3,10.0,7.1
STU103,Male,Computer Science,8.6,90.4,5.7,6.9,5.7
STU104,Other,Computer Science,13.0,76.1,6.4,7.0,4.7
STU105,Female,Computer Science,6.3,79.3,1.5,3.9,1.6
STU106,Male,Software Engineering,9.2,67.4,6.1,7.0,5.9
STU107,Male,Information Systems,6.2,76.0,9.1,9.6,6.7
STU108,Female,Information Systems,8.6,95.6,7.9,8.6,8.7
STU109,Female,Information Systems,13.4,87.0,8.9,8.2,8.5
STU110,Male,Information Systems,3.1,100.0,6.3,5.7,6.6
STU111,Female,Software Engineering,11.7,94.1,8.0,7.0,3.6
STU112,Female,Software Engineering,11.0,85.3,7.1,5.9,6.2
STU113,Male,Software Engineering,7.6,100.0,6.5,6.7,8.9
STU114,Female,Information Systems,4.2,85.3,5.9,7.2,2.8
STU115,Male,Computer Science,10.3,89.9,7.8,9.5,8.2
STU116,Female,Computer Science,7.9,76.4,6.3,8.4,5.6
STU117,Female,Information Systems,10.9,80.8,8.6,8.0,9.2
STU118,Male,Computer Science,10.1,71.6,6.5,4.9,5.3
STU119,Other,Information Systems,16.4,91.9,9.9,10.0,10.0
STU120,Male,Information Systems,9.0,65.9,9.1,8.5,9.0
STU121,Other,Software Engineering,5.9,89.4,6.3,5.5,7.4
STU122,Male,Computer Science,10.7,77.7,7.4,7.4,6.0
STU123,Male,Information Systems,10.9,94.1,10.0,9.2,10.0
STU124,Male,Information Systems,15.4,89.0,9.8,9.0,7.1
STU125,Other,Software Engineering,13.3,100.0,9.0,9.5,10.0
STU126,Other,Software Engineering,11.4,88.8,7.1,7.8,6.5
STU127,Other,Computer Science,15.9,61.1,9.0,9.7,9.0
STU128,Other,Information Systems,5.2,79.2,6.2,5.4,6.1
STU129,Male,Software Engineering,7.4,65.9,5.9,6.1,4.6
STU130,Male,Computer Science,6.3,73.8,7.8,7.7,8.2
STU131,Other,Software Engineering,8.4,98.1,8.6,6.8,8.2
STU132,Female,Software Engineering,4.5,87.7,4.9,6.8,5.3
STU133,Male,Computer Science,12.5,71.6,7.3,6.9,5.2
STU134,Other,Computer Science,9.1,67.8,6.8,6.8,6.9
STU135,Male,Computer Science,4.1,80.4,3.9,1.8,4.7
STU136,Female,Software Engineering,5.9,65.4,6.4,5.5,4.3
STU137,Male,Information Systems,11.3,71.9,6.9,6.3,5.4
STU138,Female,Software Engineering,13.4,83.7,10.0,8.9,10.0
STU139,Other,Information Systems,18.0,93.9,8.2,8.3,7.2
STU140,Other,Software Engineering,21.7,87.3,9.7,9.3,9.9
STU141,Female,Information Systems,11.7,52.5,5.0,5.8,6.5
STU142,Male,Computer Science,6.0,83.7,4.4,5.4,5.9
STU143,Other,Computer Science,1.5,80.9,5.3,5.4,6.1
STU144,Other,Software Engineering,11.1,85.0,8.2,7.4,10.0
STU145,Female,Information Systems,6.7,99.4,7.6,6.9,6.6
STU146,Male,Software Engineering,8.3,55.2,5.8,7.3,4.7
STU147,Male,Computer Science,7.6,72.9,7.3,4.2,7.0
STU148,Male,Information Systems,9.4,87.1,6.5,4.1,6.6
STU149,Female,Information Systems,14.3,61.0,9.3,7.8,7.8
STU150,Female,Information Systems,10.6,97.7,9.1,8.9,7.7
STU151,Other,Software Engineering,9.4,84.4,7.4,8.4,10.0
STU152,Female,Information Systems,5.9,90.2,7.5,7.7,7.6
STU153,Female,Information Systems,3.3,73.1,3.3,5.2,4.8
STU154,Female,Software Engineering,8.1,89.8,9.9,10.0,10.0
STU155,Female,Software Engineering,9.8,92.8,4.6,8.6,7.4
STU156,Female,Information Systems,17.1,82.8,7.3,8.9,8.4
STU157,Male,Software Engineering,10.5,82.8,6.9,7.5,7.2
STU158,Other,Computer Science,13.9,83.2,7.5,7.3,5.7
STU159,Female,Software Engineering,8.0,69.6,3.9,4.2,5.2
STU160,Female,Software Engineering,5.3,78.2,4.3,5.6,7.0
STU161,Female,Information Systems,6.1,78.2,7.2,6.2,6.6
STU162,Male,Software Engineering,7.1,84.6,6.7,7.1,6.6
STU163,Female,Information Systems,18.5,92.0,10.0,10.0,9.3
STU164,Other,Information Systems,6.7,67.3,5.0,2.5,4.5
STU165,Male,Software Engineering,13.4,78.5,9.4,7.6,8.8
STU166,Other,Software Engineering,6.4,97.8,9.2,6.7,7.5
STU167,Male,Information Systems,13.7,71.1,7.7,7.2,8.6
STU168,Male,Computer Science,11.5,70.1,5.6,6.2,4.5
STU169,Other,Software Engineering,9.4,82.4,7.7,6.3,8.7
STU170,Male,Information Systems,9.8,90.1,7.8,6.8,7.4
STU171,Other,Software Engineering,7.4,80.1,3.7,4.0,5.2
STU172,Other,Software Engineering,11.8,95.9,8.0,10.0,7.0
STU173,Male,Information Systems,8.2,90.3,6.9,9.3,8.9
STU174,Other,Software Engineering,5.1,90.1,6.0,4.9,6.7
STU175,Female,Computer Science,4.9,86.6,6.4,6.1,7.5
STU176,Other,Information Systems,10.7,100.0,6.2,5.3,4.8
STU177,Other,Computer Science,16.3,77.5,10.0,8.4,10.0
STU178,Other,Computer Science,10.6,56.0,8.1,7.8,8.3
STU179,Female,Computer Science,9.5,99.3,8.0,6.6,5.8
STU180,Other,Software Engineering,11.1,74.5,6.9,7.6,7.7
STU181,Male,Computer Science,15.2,81.3,4.8,4.1,6.1
STU182,Female,Information Systems,10.9,95.7,7.5,5.9,7.3
STU183,Female,Software Engineering,8.4,60.8,5.3,5.8,5.9
STU184,Male,Information Systems,14.4,65.0,5.3,6.8,6.7
STU185,Female,Computer Science,11.7,60.8,8.1,8.1,9.3
STU186,Female,Computer Science,16.1,70.5,10.0,9.4,10.0
STU187,Male,Software Engineering,10.7,85.3,5.0,7.0,3.0
STU188,Male,Computer Science,5.1,86.3,5.4,4.4,4.9
STU189,Female,Software Engineering,4.5,83.3,6.8,6.9,6.1
STU190,Other,Software Engineering,16.6,63.0,10.0,10.0,8.2
STU191,Other,Information Systems,16.9,52.3,6.9,5.0,6.5
STU192,Male,Software Engineering,9.3,80.7,6.2,7.0,8.7
STU193,Other,Computer Science,8.5,74.3,9.0,9.1,7.6
STU194,Male,Computer Science,15.8,85.5,6.7,7.5,7.3
STU195,Female,Software Engineering,5.6,88.4,4.5,4.8,3.9
STU196,Female,Software Engineering,6.4,81.7,6.6,7.4,5.1
STU197,Other,Computer Science,12.6,89.1,8.8,8.6,9.2
STU198,Other,Computer Science,8.4,82.8,9.3,7.6,7.3
STU199,Other,Information Systems,10.0,86.4,8.8,8.5,8.2
STU200,Female,Information Systems,9.3,71.5,4.5,6.5,2.5
